# p0, p1, p2, p3, p4, resistivity (kohm.cm)
    2.2701,   24.0271,    0.9444,    9.0524,    4.4718,   12.5502
    2.3367,   25.2168,    0.8964,    8.6667,    4.1896,   11.1268
    2.4134,   18.8363,    0.8986,    8.0313,    3.6571,   24.0408
    2.4229,   30.4327,    0.9536,    8.5880,    4.4573,    7.1084
    2.2663,   28.8757,    0.8934,    7.5122,    4.3766,    8.0328
    2.1033,   26.3035,    0.8995,    7.8928,    4.0392,   10.0356
    2.3689,   15.2388,    0.9221,    8.5080,    3.6614,   46.1285
    2.3965,   29.2198,    0.9156,    8.2051,    4.1633,    7.8129
    2.3434,   26.4885,    0.9279,    8.9279,    4.3564,    9.8667
    2.2158,   16.5163,    0.9037,    8.0435,    4.3149,   35.5720
    2.2497,   16.2485,    0.9262,    7.7547,    3.6865,   37.4484
    2.3939,   21.0206,    0.8532,    7.3497,    4.0341,   17.7540
    2.3678,   25.4596,    0.8900,    8.0361,    4.3005,   10.8674
    2.4287,   25.1294,    0.8709,    7.8783,    4.0556,   11.2226
    2.2641,   27.0082,    0.9532,    8.3646,    4.7259,    9.4150
    2.2116,   15.3804,    0.9202,    9.0917,    4.0112,   44.7305
    2.3245,   16.0553,    0.9553,    7.5632,    3.7234,   38.8997
    2.3490,   21.4696,    0.8793,    8.8920,    3.9354,   16.7813
    2.3205,   25.8849,    0.9018,    7.9424,    4.5386,   10.4352
    2.4339,   22.3854,    0.9250,    7.8735,    4.1546,   15.0391
    2.4295,   29.2118,    0.9100,    7.9082,    3.8933,    7.8179
    2.3198,   16.8959,    0.9583,    8.9648,    3.7247,   33.1550
    2.2348,   20.0671,    0.9006,    7.4363,    4.3030,   20.1374
    2.3004,   17.0244,    0.9180,    8.7223,    3.7354,   32.3947
    2.2419,   16.4919,    0.9136,    9.3068,    3.7326,   35.7369
    2.3759,   23.1257,    0.8761,    8.1627,    4.4079,   13.8290
    2.4243,   21.9142,    0.8674,    7.6113,    4.2130,   15.8980
    2.4530,   21.4077,    0.8691,    8.1285,    3.9417,   16.9104
    2.3274,   32.1665,    0.8489,    7.4842,    4.4411,    6.2616
    2.2369,   27.3557,    0.9581,    9.0340,    4.4132,    9.1308
    2.2061,   30.6369,    0.8706,    7.6960,    4.5181,    6.9996
    2.1033,   16.9687,    0.9321,    8.4914,    3.5807,   32.7208
    2.1904,   16.5893,    0.9309,    9.3364,    3.7090,   35.0864
    2.3939,   17.0487,    0.9021,    7.5227,    4.0407,   32.2539
    2.4831,   18.5293,    0.8334,    7.8096,    4.0736,   25.2006
    2.2544,   27.0241,    0.9351,    9.0500,    3.9558,    9.4017
    2.2612,   17.1508,    0.9369,    9.0227,    3.6358,   31.6733
    2.3340,   29.2974,    0.8849,    8.5061,    4.1769,    7.7646
    2.3337,   30.4201,    0.8927,    8.0585,    4.3710,    7.1152
    2.2148,   21.0117,    0.8847,    7.5868,    4.0160,   17.7741
    2.4589,   24.1237,    0.9050,    8.5776,    4.2133,   12.4244
    2.1004,   20.6848,    0.9311,    7.6129,    3.5703,   18.5403
    2.3094,   16.2334,    0.9342,    7.8519,    4.3962,   37.5587
    2.0835,   25.0268,    0.9219,    8.4390,    4.0440,   11.3366
    2.2424,   20.9073,    0.9402,    8.7899,    4.3081,   18.0133
    2.4445,   24.6430,    0.8941,    7.6592,    3.6848,   11.7799
    2.2038,   20.6336,    0.8995,    8.1021,    4.3766,   18.6651
    2.4333,   22.7871,    0.9384,    8.1678,    3.9885,   14.3627
    2.2727,   22.2548,    0.8731,    7.7966,    4.1029,   15.2697
    2.3932,   27.6767,    0.8590,    7.9579,    4.2204,    8.8801
    2.1943,   18.2784,    0.9502,    9.0668,    4.4513,   26.2150
    2.2135,   27.1622,    0.8724,    7.8862,    3.8691,    9.2874
    2.2799,   20.5929,    0.8423,    7.7181,    3.5951,   18.7650
    2.2253,   16.4440,    0.9539,    9.2006,    3.7391,   36.0639
    2.2795,   16.3910,    0.9589,    8.9230,    3.7752,   36.4313
    1.9962,   31.4275,    0.9127,    7.9668,    4.1557,    6.6021
    2.4183,   24.0076,    0.8458,    7.7701,    4.3892,   12.5760
    2.3625,   21.3093,    0.9176,    8.4379,    4.1861,   17.1188
    2.1059,   31.8928,    0.9470,    8.3813,    4.5631,    6.3844
    2.2256,   23.3011,    0.9136,    7.9163,    4.4467,   13.5647
    2.2932,   21.8858,    0.9186,    7.4373,    3.7867,   15.9523
    2.2235,   24.2859,    0.9425,    8.3135,    3.9461,   12.2172
    2.0540,   25.4029,    0.9554,    8.5852,    3.8751,   10.9271
    2.1847,   17.1514,    0.9399,    8.4718,    3.6183,   31.6700
    2.1863,   18.7407,    0.9415,    7.7029,    4.6137,   24.3929
    2.2272,   27.7076,    0.9045,    7.7959,    3.9544,    8.8565
    2.4615,   21.7890,    0.8447,    7.7829,    4.0840,   16.1393
    2.3467,   22.6668,    0.8662,    7.9638,    4.1237,   14.5602
    2.4714,   23.9905,    0.8336,    7.7746,    4.3422,   12.5985
    2.3535,   30.5462,    0.9491,    7.9538,    3.8634,    7.0476
    2.2283,   31.6532,    0.9387,    8.8103,    4.1780,    6.4950
    2.4450,   28.6026,    0.9366,    8.2275,    4.2891,    8.2143
    2.3202,   16.8093,    0.8957,    8.8830,    4.2007,   33.6835
    2.2919,   16.1095,    0.9548,    7.9930,    4.5754,   38.4835
    2.1236,   28.4034,    0.9572,    8.6311,    4.2947,    8.3507
    2.3378,   22.8764,    0.9138,    9.2559,    4.0418,   14.2189
    2.4570,   23.9241,    0.9376,    8.3144,    4.7361,   12.6868
    2.3005,   18.0026,    0.9558,    8.8034,    3.6618,   27.4057
    2.3224,   22.2392,    0.8489,    7.3463,    4.2841,   15.2977
    2.1787,   26.2637,    0.9403,    8.1439,    4.2197,   10.0726
    2.3597,   23.9847,    0.9458,    8.7065,    4.3501,   12.6062
    2.3185,   19.5307,    0.8581,    7.3494,    3.7866,   21.7064
    2.2130,   16.5826,    0.9192,    8.8281,    3.8846,   35.1307
    2.2055,   20.1202,    0.8887,    7.6930,    4.4412,   19.9917
    2.1351,   25.6852,    0.9404,    8.1079,    4.2545,   10.6348
    2.3151,   21.0934,    0.9024,    7.6764,    4.3693,   17.5904
    2.2077,   16.3071,    0.8951,    8.7037,    3.7919,   37.0244
    2.2627,   26.7017,    0.8844,    7.9682,    3.7432,    9.6773
    2.2364,   25.8250,    0.9458,    7.7011,    3.7729,   10.4945
    2.0585,   25.1222,    0.9142,    8.4507,    3.6853,   11.2306
    2.4410,   23.6559,    0.8771,    8.2348,    4.8538,   13.0534
    2.2594,   17.3523,    0.8870,    8.4536,    3.9991,   30.5737
    2.1300,   22.1538,    0.9420,    8.2677,    4.2276,   15.4520
    2.0261,   26.1462,    0.9340,    8.5671,    4.0531,   10.1830
    2.3308,   23.0843,    0.9363,    8.2012,    4.1439,   13.8926
    2.3641,   16.6308,    0.9167,    8.4271,    4.4286,   34.8146
    2.3685,   15.9799,    0.9118,    8.3730,    3.5853,   39.4899
    1.9961,   24.5239,    0.9476,    8.3564,    4.1586,   11.9230
    2.0613,   25.0874,    0.9529,    7.9480,    4.1876,   11.2690
    2.3155,   15.5000,    0.8644,    7.5619,    4.0736,   43.6019
    2.2459,   27.9164,    0.9405,    8.7574,    3.9235,    8.6998
    2.4395,   25.8568,    0.8675,    8.3328,    4.8222,   10.4630
    2.4677,   16.3486,    0.9267,    7.5351,    3.6146,   36.7293
    2.1053,   15.4949,    0.9599,    8.3103,    4.3818,   43.6488
    2.1646,   20.2366,    0.9463,    7.4184,    4.4700,   19.6782
    2.0929,   19.8584,    0.9258,    7.9976,    4.2246,   20.7261
    2.4934,   20.1729,    0.8864,    7.4096,    3.5693,   19.8489
    2.3966,   23.3083,    0.9199,    7.8847,    4.3112,   13.5539
    2.2250,   25.1605,    0.9213,    8.9551,    4.5803,   11.1883
